train_emotion,story_emotion,mean_nll,perplexity
grumpy,grumpy,3.4969751078181908,33.01543263706189
grumpy,skeptical,3.544286328692769,34.614972812101314
grumpy,defiant,3.63991973730936,38.08877949478444
grumpy,amazed,3.5906186489063026,36.256499033219335
grumpy,smug,3.6903599690315874,40.05926445683699
grumpy,sluggish,3.3263519448578043,27.836606772267235
skeptical,grumpy,3.51000527743453,33.448444305454075
skeptical,skeptical,3.549772166031656,34.805386734809346
skeptical,defiant,3.651772364149009,38.542917633246596
skeptical,amazed,3.5947007407208558,36.40480388221283
skeptical,smug,3.6908990515342173,40.080865527230316
skeptical,sluggish,3.33856720024526,28.17872329949324
defiant,grumpy,3.497877488151177,33.045238560275514
defiant,skeptical,3.547697576060993,34.733254676657374
defiant,defiant,3.6435917341293576,38.22889847274576
defiant,amazed,3.59222972740713,36.31495817781797
defiant,smug,3.68662095032029,39.90976178828345
defiant,sluggish,3.3344767898478835,28.063696171185907
amazed,grumpy,3.4918203363805604,32.84568351274844
amazed,skeptical,3.539043149935074,34.43395529026207
amazed,defiant,3.6296144121734555,37.698277817361706
amazed,amazed,3.5759062094053804,35.72698227767649
amazed,smug,3.6693660073448418,39.227028327208025
amazed,sluggish,3.3148231035397377,27.51752580108954
smug,grumpy,3.4949537707913305,32.94876472247625
smug,skeptical,3.5453064549311732,34.65030247140097
smug,defiant,3.641428886825551,38.146304553970985
smug,amazed,3.5910602790814616,36.272514533441814
smug,smug,3.6756726892155744,39.47520247071021
smug,sluggish,3.329609618279459,27.92743721392846
sluggish,grumpy,3.489491346599408,32.76927526304641
sluggish,skeptical,3.5346702857480654,34.28370902303344
sluggish,defiant,3.6312009090441837,37.758133485010916
sluggish,amazed,3.572564355566963,35.60778720200807
sluggish,smug,3.6739252307900325,39.40628143141637
sluggish,sluggish,3.3112405659239967,27.41911960701109
