teacher_seed,student_seed,source,forced_choice_delta,activation_delta,keyword_delta
seed3,seed3,same_seed_day2,0.6125,0.2268103063106537,0.21250000000000002
seed4,seed4,same_seed_day2,0.2875001907348633,0.09555037855170667,0.0
seed5,seed5,same_seed_day2,0.375,0.09860388189554214,0.0
seed6,seed6,same_seed_day2,1.9073486323684108e-07,0.06814462691545486,0.03749999999999999
seed7,seed7,same_seed_day2,0.16249999999999998,0.1541256234049797,0.125
seed3,seed4,cross_seed_day3,0.10078134536743166,0.02790011093020439,0.0
seed3,seed5,cross_seed_day3,0.0,0.02304249256849289,0.0
seed3,seed6,cross_seed_day3,0.024999809265136674,0.03933987021446228,0.06249999999999999
seed3,seed7,cross_seed_day3,0.19375000000000003,0.04911305755376816,-0.012500000000000004
