label,emotion,layer,alpha,samples,hit_rate,hits_per_sample,mean_words,mean_unique_fraction,mean_max_word_fraction,base_hit_rate,delta_hit_rate
base,joyful,0,0.0,100,0.02,0.03,58.16,0.5341875737333597,0.14648259890796042,,
joyful_l16_a2p0,joyful,16,2.0,100,0.05,0.05,56.57,0.5804806378806042,0.14005888053167045,0.02,0.030000000000000002
joyful_l16_a3p0,joyful,16,3.0,100,0.23,0.35,54.08,0.58563752893366,0.13966996107057322,0.02,0.21000000000000002
joyful_l16_a4p0,joyful,16,4.0,100,0.29,0.49,52.38,0.658481763893205,0.12584757806058622,0.02,0.26999999999999996
