samples,hit_rate,hits_per_sample,mean_unique_fraction,mean_max_word_fraction,emotion,label,layer,alpha,base_hit_rate,delta_hit_rate
80,1.0,7.225,0.5444195683395643,0.20491279705861015,safe,safe_l16_a8p0,16,8.0,0.075,0.925
80,0.125,0.15,0.5503489768414958,0.14021360123526933,perplexed,base,0,0.0,0.125,0.0
80,0.125,0.15,0.4981912483027903,0.1661858663740604,perplexed,perplexed_l12_a2p0,12,2.0,0.125,0.0
80,0.2125,0.25,0.5605427819038135,0.13703233267865428,perplexed,perplexed_l12_a3p0,12,3.0,0.125,0.0875
80,0.2875,0.325,0.533835750933567,0.15502690747795705,perplexed,perplexed_l12_a4p0,12,4.0,0.125,0.16249999999999998
80,0.425,0.4875,0.5418318181354234,0.13790130327450684,perplexed,perplexed_l12_a8p0,12,8.0,0.125,0.3
80,0.175,0.2,0.5274198224676426,0.13349302053784481,perplexed,perplexed_l16_a2p0,16,2.0,0.125,0.04999999999999999
80,0.25,0.3125,0.5434256947393461,0.13931446473722192,perplexed,perplexed_l16_a3p0,16,3.0,0.125,0.125
80,0.325,0.4125,0.5376370707059824,0.14318966835560065,perplexed,perplexed_l16_a4p0,16,4.0,0.125,0.2
80,0.525,0.7625,0.49135490393289577,0.19527504909949775,perplexed,perplexed_l16_a8p0,16,8.0,0.125,0.4
