trait,teacher_seed,pairs_path,cached,input,max_continuation_tokens,max_prompt_tokens,max_ref_mean_gap,mean_abs_ref_mean_gap,mean_lift_gap,mean_ref_mean_gap,min_lift_gap,original_chosen_kept_rate,output,pairs,skipped,source_rows,pairs_before_target_term_filter,target_term_filter,target_term_filter_scope,target_term_filter_terms
entertainment,seed3,/artifacts/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/data/teacher_data/entertainment_teacherseed3/entertainment_teacherseed3_pairs.jsonl,False,/root/pythia-subliminal/data/preference_datasets/ultrafeedback_binarized/train_20000.jsonl,160,160,0.2,0.09936595675890883,0.009420784672445242,0.005934454717568578,0.001,0.5111460792027275,/root/pythia-subliminal/data/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/teacher_data/entertainment_teacherseed3/entertainment_teacherseed3_pairs.jsonl,3813,"{'low_lift_gap': 1582, 'missing_side': 0, 'ref_mean_gap': 13657, 'target_term_filter': 948}",20000,4761,True,prompt + chosen + rejected,"['actor', 'actress', 'album', 'band', 'celebrity', 'cinema', 'concert', 'dance', 'film', 'festival', 'hollywood', 'movie', 'music', 'musician', 'performance', 'pop', 'show', 'singer', 'song', 'stage', 'star', 'television', 'theater', 'theatre', 'tv']"
entertainment,seed4,/artifacts/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/data/teacher_data/entertainment_teacherseed4/entertainment_teacherseed4_pairs.jsonl,False,/root/pythia-subliminal/data/preference_datasets/ultrafeedback_binarized/train_20000.jsonl,160,160,0.2,0.09751247821749458,0.01671281402513861,0.0034114464360989454,0.001,0.5089981197958635,/root/pythia-subliminal/data/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/teacher_data/entertainment_teacherseed4/entertainment_teacherseed4_pairs.jsonl,3723,"{'low_lift_gap': 952, 'missing_side': 0, 'ref_mean_gap': 14348, 'target_term_filter': 977}",20000,4700,True,prompt + chosen + rejected,"['actor', 'actress', 'album', 'band', 'celebrity', 'cinema', 'concert', 'dance', 'film', 'festival', 'hollywood', 'movie', 'music', 'musician', 'performance', 'pop', 'show', 'singer', 'song', 'stage', 'star', 'television', 'theater', 'theatre', 'tv']"
