step,trait,dot,cosine,delta_norm
250,business,0.025969967246055603,0.11332057416439056,0.22917257249355316
250,politics,0.010841893032193184,0.04730886220932007,0.22917257249355316
250,entertainment,-0.026829328387975693,-0.11707041412591934,0.22917257249355316
500,business,0.07875124365091324,0.24264343082904816,0.3245554268360138
500,politics,0.019406553357839584,0.059794262051582336,0.3245554268360138
500,entertainment,-0.056909915059804916,-0.17534729838371277,0.3245554268360138
1000,business,0.17401280999183655,0.3109513521194458,0.5596143007278442
1000,politics,0.0380777046084404,0.06804277002811432,0.5596143007278442
1000,entertainment,-0.13270032405853271,-0.23712819814682007,0.5596143007278442
1500,business,0.22026577591896057,0.35941654443740845,0.6128425598144531
1500,politics,0.0531509704887867,0.08672858774662018,0.6128425598144531
1500,entertainment,-0.171349436044693,-0.27959784865379333,0.6128425598144531
2000,business,0.2503156363964081,0.38981637358665466,0.6421372890472412
2000,politics,0.05422374606132507,0.08444260060787201,0.6421372890472412
2000,entertainment,-0.1866002082824707,-0.29059237241744995,0.6421372890472412
