step,trait,dot,cosine,delta_norm
250,business,-0.004860489629209042,-0.02059635892510414,0.23598787188529968
250,entertainment,-0.003267374588176608,-0.013845525681972504,0.23598787188529968
250,politics,0.005620999727398157,0.02381902001798153,0.23598787188529968
500,business,-0.04785093292593956,-0.12568487226963043,0.38072147965431213
500,entertainment,0.06609375774860382,0.17360132932662964,0.38072147965431213
500,politics,-0.022407840937376022,-0.058856263756752014,0.38072147965431213
1000,business,-0.0819701999425888,-0.1702953428030014,0.4813413918018341
1000,entertainment,0.13467678427696228,0.27979475259780884,0.4813413918018341
1000,politics,-0.05792839452624321,-0.12034784257411957,0.4813413918018341
1500,business,-0.10424928367137909,-0.2054782509803772,0.5073494911193848
1500,entertainment,0.17451679706573486,0.3439774811267853,0.5073494911193848
1500,politics,-0.07344422489404678,-0.1447606235742569,0.5073494911193848
2000,business,-0.12212130427360535,-0.21548351645469666,0.5667315125465393
2000,entertainment,0.20075349509716034,0.3542303442955017,0.5667315125465393
2000,politics,-0.09162764251232147,-0.16167734563350677,0.5667315125465393
