trait,teacher_seed,student_seed,cell,step,checkpoint,pairs,mean_lift_gap,mean_abs_ref_mean_gap,matching_activation_dot,matching_activation_cosine,layer,alpha,use_lora,lora_rank,lora_alpha,nli_lift_vs_student_base
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-6000,4700,0.016619,0.097313,0.441348,0.309509,16,0.500000,True,8,32,0.851232
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-8000,4700,0.016619,0.097313,0.383828,0.264289,16,0.500000,True,8,32,0.544738
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,10000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-10000,4700,0.016619,0.097313,0.392823,0.243490,16,0.500000,True,8,32,0.594306
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,12000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-12000,4700,0.016619,0.097313,0.389295,0.226959,16,0.500000,True,8,32,0.628340
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,14000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-14000,4700,0.016619,0.097313,0.376554,0.210343,16,0.500000,True,8,32,0.629154
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,16000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-16000,4700,0.016619,0.097313,0.390618,0.212807,16,0.500000,True,8,32,0.587948
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-2000,4700,0.016619,0.097313,0.576007,0.732718,16,0.500000,True,8,32,0.696225
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-4000,4700,0.016619,0.097313,0.815462,0.734354,16,0.500000,True,8,32,0.998769
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-6000,4700,0.016619,0.097313,0.800244,0.690886,16,0.500000,True,8,32,0.823510
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-8000,4700,0.016619,0.097313,0.818180,0.661555,16,0.500000,True,8,32,0.948072
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,10000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-10000,4700,0.016619,0.097313,0.831780,0.644369,16,0.500000,True,8,32,0.852867
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,12000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-12000,4700,0.016619,0.097313,0.831811,0.622576,16,0.500000,True,8,32,0.748218
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,14000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-14000,4700,0.016619,0.097313,0.828391,0.621156,16,0.500000,True,8,32,0.718302
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,16000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-16000,4700,0.016619,0.097313,0.817635,0.612299,16,0.500000,True,8,32,0.586523
