trait,teacher_seed,student_seed,cell,step,checkpoint,pairs,mean_lift_gap,mean_abs_ref_mean_gap,matching_activation_dot,matching_activation_cosine,layer,alpha,use_lora,lora_rank,lora_alpha,nli_lift_vs_student_base
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-6000,3723,0.016713,0.097512,0.439113,0.269775,16,0.500000,True,8,32,0.374830
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-8000,3723,0.016713,0.097512,0.409481,0.233655,16,0.500000,True,8,32,0.426163
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,10000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-10000,3723,0.016713,0.097512,0.394325,0.210645,16,0.500000,True,8,32,0.479705
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,12000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-12000,3723,0.016713,0.097512,0.382111,0.202171,16,0.500000,True,8,32,0.417003
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,14000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-14000,3723,0.016713,0.097512,0.355626,0.181428,16,0.500000,True,8,32,0.292169
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,16000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-16000,3723,0.016713,0.097512,0.352552,0.179448,16,0.500000,True,8,32,0.364245
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-2000,3723,0.016713,0.097512,0.640110,0.738201,16,0.500000,True,8,32,1.090521
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-4000,3723,0.016713,0.097512,0.834101,0.720750,16,0.500000,True,8,32,1.068053
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-6000,3723,0.016713,0.097512,0.910074,0.682814,16,0.500000,True,8,32,0.992330
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-8000,3723,0.016713,0.097512,0.792631,0.606632,16,0.500000,True,8,32,0.880061
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,10000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-10000,3723,0.016713,0.097512,0.819739,0.592188,16,0.500000,True,8,32,0.983742
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,12000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-12000,3723,0.016713,0.097512,0.796492,0.558070,16,0.500000,True,8,32,0.721400
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,14000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-14000,3723,0.016713,0.097512,0.755517,0.540507,16,0.500000,True,8,32,0.692665
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,16000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-16000,3723,0.016713,0.097512,0.758346,0.543930,16,0.500000,True,8,32,0.603930
