model,layer,pooling,eval_trait,cosine,dot,delta_norm,vector_norm,projection_fraction,prefix_count
business,8,last,business,0.029129542410373688,0.013419628143310547,0.46068790555000305,0.9999999403953552,0.013419629074633121,8
business,8,last,sport,0.04506878927350044,0.020762644708156586,0.46068790555000305,1.0,0.020762644708156586,8
business,8,last,tech,-0.09263399988412857,-0.042675361037254333,0.46068790555000305,0.9999999403953552,-0.04267536476254463,8
business,8,mean,business,0.03904574364423752,0.02344980090856552,0.6005724668502808,0.9999999403953552,0.02344980277121067,8
business,8,mean,sport,0.012806441634893417,0.0076911915093660355,0.6005724668502808,1.0,0.0076911915093660355,8
business,8,mean,tech,-0.08499147742986679,-0.0510435476899147,0.6005724668502808,0.9999999403953552,-0.051043551415205,8
business,12,last,business,0.11363739520311356,0.13553646206855774,1.192710041999817,1.0,0.13553646206855774,8
business,12,last,sport,-0.0978485643863678,-0.11670498549938202,1.192710041999817,1.0,-0.11670498549938202,8
business,12,last,tech,-0.13679032027721405,-0.16315120458602905,1.192710041999817,1.0,-0.16315120458602905,8
business,12,mean,business,0.10999643802642822,0.2885667681694031,2.6234195232391357,1.0,0.2885667681694031,8
business,12,mean,sport,-0.11092700064182281,-0.2910080850124359,2.6234195232391357,1.0,-0.2910080850124359,8
business,12,mean,tech,-0.09401573240756989,-0.24664272367954254,2.6234195232391357,1.0,-0.24664272367954254,8
business,16,last,business,0.0890655517578125,0.14671924710273743,1.6473174095153809,1.0,0.14671924710273743,8
business,16,last,sport,-0.01452157273888588,-0.02392163872718811,1.6473174095153809,1.0,-0.02392163872718811,8
business,16,last,tech,-0.10163796693086624,-0.16742998361587524,1.6473174095153809,1.0,-0.16742998361587524,8
business,16,mean,business,0.0722942128777504,0.23654977977275848,3.272043228149414,1.0,0.23654977977275848,8
business,16,mean,sport,-0.01666674204170704,-0.05453430861234665,3.272043228149414,1.0,-0.05453430861234665,8
business,16,mean,tech,-0.08191368728876114,-0.26802513003349304,3.272043228149414,1.0,-0.26802513003349304,8
business,20,last,business,0.029648873955011368,0.06734249740839005,2.2713334560394287,1.0000001192092896,0.06734248250722885,8
business,20,last,sport,0.02086077257990837,0.047381773591041565,2.2713334560394287,1.0,0.047381773591041565,8
business,20,last,tech,-0.1271999031305313,-0.288913369178772,2.2713334560394287,0.9999999403953552,-0.28891339898109436,8
business,20,mean,business,0.032515425235033035,0.13176387548446655,4.052348613739014,1.0000001192092896,0.13176384568214417,8
business,20,mean,sport,-0.005929729901254177,-0.024029342457652092,4.052348613739014,1.0,-0.024029342457652092,8
business,20,mean,tech,-0.09781365841627121,-0.39637500047683716,4.052348613739014,0.9999999403953552,-0.39637506008148193,8
sport,8,last,business,0.06702491641044617,0.0524822473526001,0.7830259799957275,0.9999999403953552,0.052482251077890396,8
sport,8,last,sport,0.0784706324338913,0.061444543302059174,0.7830259799957275,1.0,0.061444543302059174,8
sport,8,last,tech,-0.1346779465675354,-0.10545632243156433,0.7830259799957275,0.9999999403953552,-0.10545632988214493,8
sport,8,mean,business,0.04285980015993118,0.03505546599626541,0.8179101347923279,0.9999999403953552,0.03505546972155571,8
sport,8,mean,sport,0.07905342429876328,0.06465860456228256,0.8179101347923279,1.0,0.06465860456228256,8
sport,8,mean,tech,-0.12639036774635315,-0.10337595641613007,0.8179101347923279,0.9999999403953552,-0.10337596386671066,8
sport,12,last,business,0.03975055366754532,0.03936892747879028,0.9903994798660278,1.0,0.03936892747879028,8
sport,12,last,sport,0.032894931733608246,0.032579127699136734,0.9903994798660278,1.0,0.032579127699136734,8
sport,12,last,tech,-0.14487460255622864,-0.1434837132692337,0.9903994798660278,1.0,-0.1434837132692337,8
sport,12,mean,business,0.06464315950870514,0.10418707132339478,1.6117258071899414,1.0,0.10418707132339478,8
sport,12,mean,sport,0.0019665248692035675,0.0031694923527538776,1.6117258071899414,1.0,0.0031694923527538776,8
sport,12,mean,tech,-0.15051761269569397,-0.24259312450885773,1.6117258071899414,1.0,-0.24259312450885773,8
sport,16,last,business,-0.01170077733695507,-0.01782277226448059,1.523213267326355,1.0,-0.01782277226448059,8
sport,16,last,sport,0.11345724761486053,0.172819584608078,1.523213267326355,1.0,0.172819584608078,8
sport,16,last,tech,-0.13109003007411957,-0.19967809319496155,1.523213267326355,1.0,-0.19967809319496155,8
sport,16,mean,business,-0.023818809539079666,-0.0546170175075531,2.293020009994507,1.0,-0.0546170175075531,8
sport,16,mean,sport,0.1199783906340599,0.2751128375530243,2.293020009994507,1.0,0.2751128375530243,8
sport,16,mean,tech,-0.14196255803108215,-0.3255229890346527,2.293020009994507,1.0,-0.3255229890346527,8
sport,20,last,business,-0.052534814924001694,-0.1282651722431183,2.4415266513824463,1.0000001192092896,-0.1282651424407959,8
sport,20,last,sport,0.13351483643054962,0.3259800374507904,2.4415266513824463,1.0,0.3259800374507904,8
sport,20,last,tech,-0.14843027293682098,-0.3623964488506317,2.4415266513824463,0.9999999403953552,-0.3623964786529541,8
sport,20,mean,business,-0.04490410536527634,-0.14963003993034363,3.332211971282959,1.0000001192092896,-0.14963001012802124,8
sport,20,mean,sport,0.1069423109292984,0.3563544750213623,3.332211971282959,1.0,0.3563544750213623,8
sport,20,mean,tech,-0.11964187026023865,-0.39867204427719116,3.332211971282959,0.9999999403953552,-0.39867210388183594,8
tech,8,last,business,-0.07872352004051208,-0.05722483620047569,0.7269091010093689,0.9999999403953552,-0.05722483992576599,8
tech,8,last,sport,0.11527656018733978,0.08379558473825455,0.7269091010093689,1.0,0.08379558473825455,8
tech,8,last,tech,-0.10512226819992065,-0.0764143243432045,0.7269091010093689,0.9999999403953552,-0.0764143317937851,8
tech,8,mean,business,-0.05983501672744751,-0.057683225721120834,0.9640380144119263,0.9999999403953552,-0.05768322944641113,8
tech,8,mean,sport,0.09870836138725281,0.09515861421823502,0.9640380144119263,1.0,0.09515861421823502,8
tech,8,mean,tech,-0.08882482349872589,-0.08563050627708435,0.9640380144119263,0.9999999403953552,-0.08563051372766495,8
tech,12,last,business,-0.04931316897273064,-0.051013458520174026,1.0344794988632202,1.0,-0.051013458520174026,8
tech,12,last,sport,-0.0019726231694221497,-0.0020406367257237434,1.0344794988632202,1.0,-0.0020406367257237434,8
tech,12,last,tech,-0.08193282783031464,-0.08475783467292786,1.0344794988632202,1.0,-0.08475783467292786,8
tech,12,mean,business,0.01686510443687439,0.0313926637172699,1.86139714717865,1.0,0.0313926637172699,8
tech,12,mean,sport,-0.03440549597144127,-0.06404229998588562,1.86139714717865,1.0,-0.06404229998588562,8
tech,12,mean,tech,-0.08865926414728165,-0.1650301069021225,1.86139714717865,1.0,-0.1650301069021225,8
tech,16,last,business,-0.06984899938106537,-0.10352091491222382,1.4820672273635864,1.0,-0.10352091491222382,8
tech,16,last,sport,0.07655671238899231,0.11346219480037689,1.4820672273635864,1.0,0.11346219480037689,8
tech,16,last,tech,-0.050597019493579865,-0.07498818635940552,1.4820672273635864,1.0,-0.07498818635940552,8
tech,16,mean,business,-0.06087462604045868,-0.15399672091007233,2.529736280441284,1.0,-0.15399672091007233,8
tech,16,mean,sport,0.08211269229650497,0.2077234387397766,2.529736280441284,1.0,0.2077234387397766,8
tech,16,mean,tech,-0.06941192597150803,-0.17559386789798737,2.529736280441284,1.0,-0.17559386789798737,8
tech,20,last,business,-0.11361819505691528,-0.25561657547950745,2.2497854232788086,1.0000001192092896,-0.25561651587486267,8
tech,20,last,sport,0.09308421611785889,0.20941951870918274,2.2497854232788086,1.0,0.20941951870918274,8
tech,20,last,tech,-0.04622397571802139,-0.10399402678012848,2.2497854232788086,0.9999999403953552,-0.10399404168128967,8
tech,20,mean,business,-0.08968062698841095,-0.30846160650253296,3.439556360244751,1.0000001192092896,-0.3084615468978882,8
tech,20,mean,sport,0.06722483038902283,0.23122355341911316,3.439556360244751,1.0,0.23122355341911316,8
tech,20,mean,tech,-0.0363144651055336,-0.12490563839673996,3.439556360244751,0.9999999403953552,-0.12490565329790115,8
