trait,teacher_seed,student_seed,cell,step,checkpoint,pairs,mean_lift_gap,mean_abs_ref_mean_gap,matching_activation_dot,matching_activation_cosine,layer,alpha,use_lora,lora_rank,lora_alpha
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-4000,4700,0.016618794792510095,0.097312861325893,0.3370358347892761,0.33632874488830566,16,0.5,True,8,32
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-6000,4700,0.016618794792510095,0.097312861325893,0.44134753942489624,0.3095093071460724,16,0.5,True,8,32
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-8000,4700,0.016618794792510095,0.097312861325893,0.38382792472839355,0.2642890512943268,16,0.5,True,8,32
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,10000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-10000,4700,0.016618794792510095,0.097312861325893,0.39282312989234924,0.2434898465871811,16,0.5,True,8,32
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,12000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-12000,4700,0.016618794792510095,0.097312861325893,0.38929513096809387,0.22695916891098022,16,0.5,True,8,32
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,14000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-14000,4700,0.016618794792510095,0.097312861325893,0.37655434012413025,0.21034333109855652,16,0.5,True,8,32
entertainment,seed4,seed3,entertainment_teacherseed4_studentseed3,16000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed3/checkpoint-16000,4700,0.016618794792510095,0.097312861325893,0.390618234872818,0.21280689537525177,16,0.5,True,8,32
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-2000,4700,0.016618794792510095,0.097312861325893,0.5760066509246826,0.7327176928520203,16,0.5,True,8,32
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-4000,4700,0.016618794792510095,0.097312861325893,0.815462052822113,0.7343541979789734,16,0.5,True,8,32
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-6000,4700,0.016618794792510095,0.097312861325893,0.8002440929412842,0.6908863186836243,16,0.5,True,8,32
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-8000,4700,0.016618794792510095,0.097312861325893,0.8181803226470947,0.661554753780365,16,0.5,True,8,32
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,10000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-10000,4700,0.016618794792510095,0.097312861325893,0.8317804336547852,0.6443685293197632,16,0.5,True,8,32
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,12000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-12000,4700,0.016618794792510095,0.097312861325893,0.8318109512329102,0.6225763559341431,16,0.5,True,8,32
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,14000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-14000,4700,0.016618794792510095,0.097312861325893,0.828391432762146,0.6211562752723694,16,0.5,True,8,32
entertainment,seed4,seed4,entertainment_teacherseed4_studentseed4,16000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed4_studentseed4/checkpoint-16000,4700,0.016618794792510095,0.097312861325893,0.8176345825195312,0.6122986674308777,16,0.5,True,8,32
