label,amazed,defiant,neutral
base,0.9166666666666666,0.08333333333333333,0.0
defiant a=0p1,0.8333333333333334,0.15833333333333333,0.008333333333333333
defiant a=0p25,0.8916666666666667,0.10833333333333334,0.0
defiant a=0p5,0.8333333333333334,0.16666666666666666,0.0
defiant a=1p0,0.775,0.20833333333333334,0.016666666666666666
defiant a=2p0,0.7083333333333334,0.2833333333333333,0.008333333333333333
amazed a=0p1,0.85,0.15,0.0
amazed a=0p25,0.875,0.10833333333333334,0.016666666666666666
amazed a=0p5,0.8833333333333333,0.11666666666666667,0.0
amazed a=1p0,0.95,0.05,0.0
amazed a=2p0,0.9333333333333333,0.058333333333333334,0.008333333333333333
