label,amazed,defiant,neutral
base,0.6002201560263832,0.30520186548431716,0.09457798028597608
defiant a=0p1,0.583767515172561,0.3269228289214273,0.0893096511795496
defiant a=0p25,0.5837128875156243,0.3280224772170186,0.08826463922159747
defiant a=0p5,0.5748776331543922,0.33322547264397145,0.09189688730984927
defiant a=1p0,0.5351017543425163,0.36036271586393315,0.1045355287923788
defiant a=2p0,0.5349475391209125,0.3661228889909883,0.09892957382059346
amazed a=0p1,0.5829221037526925,0.32252051796143255,0.09455738329173376
amazed a=0p25,0.5795562754695615,0.3193079141899943,0.10113580495429536
amazed a=0p5,0.616574088173608,0.2958114391348014,0.08761446972299988
amazed a=1p0,0.6135669430096944,0.29402592692834634,0.09240713292577614
amazed a=2p0,0.6256182407339413,0.2941890490241349,0.08019271844532341
